Journal Title,Publisher,Field of Research Code,Field of Research,Rating Group,Rating order,ISSN,ISSN Online,Website
"International Journal of Knowledge, Culture and Change Management",Common Ground Publishing Pty Ltd,1503,Communication,C,4,1447-9524,1447-9575,
International Journal of Law and Management,Emerald Group Publishing,1503,Communication,C,4,1754-243X,1754-2448,http://www.emeraldinsight.com/products/journals/journals.htm?id=ijlma
International Journal of Management,International Journal of Management,1503,Communication,C,4,0813-0183,0813-0183,
International Journal of Management Perspectives,International Business & Tourism Society,1503,Communication,C,4,1307-1629,,http://www.ib-ts.org/journals.htm
International Journal of Managing Projects in Business,Emerald Group Publishing,1503,Communication,C,4,1753-8378,1753-8386,http://www.emeraldinsight.com/journal/ijmpb
International Journal of Operations and Quantitative Management,International Forum of Management Scholars,1503,Communication,C,4,1082-1910,,
International Journal of Training and Development,Wiley-Blackwell Publishing,1503,Communication,C,4,1360-3736,1468-2419,
International Journal of Volunteer Administration,North Carolina State University,1503,Communication,C,4,,1942-728X,
International Public Management Journal,Taylor & Francis Online,1503,Communication,C,4,1096-7494,1559-3169,http://www.tandfonline.com/upmj
International Review of Administrative Sciences,Sage Publications,1503,Communication,C,4,0020-8523,1461-7226,
International Review of Industrial and Organizational Psychology,Wiley-Blackwell Publishing,1503,Communication,C,4,,,
Irish Journal of Management,Sciendo,1503,Communication,C,4,1649-248X,2451-2834,
Japan Labor Issues,International Association of Labour Law Journals,1503,Communication,C,4,2433-3689,,
Journal for Quality and Participation,American Society for Quality,1503,Communication,C,4,1040-9602,1931-4019,http://www.asq.org/pub/jqp/
Journal of African Business,Taylor & Francis Online,1503,Communication,C,4,1522-8916,1522-9076,
Journal of Applied Management and Entrepreneurship,Nova Southeastern University,1503,Communication,C,4,1077-1158,1077-1158,http://www.huizenga.nova.edu/jame/
Journal of Asia Business Studies,Emerald Group Publishing Limited,1503,Communication,C,4,1558-7894,1559-2243,http://www.emeraldinsight.com/journal/jabs
Journal of Asia Entrepreneurship and Sustainability,Monash University,1503,Communication,C,4,1176-8592,1176-8592,http://www.asiaentrepreneurshipjournal.com/
Journal of Asia Pacific Business,Taylor & Francis Online,1503,Communication,C,4,1059-9231,1528-6940,
Journal of Asian Business,University of Michigan,1503,Communication,C,4,1068-0055,1068-0055,
Journal of Business and Management,"Department of Management Information Systems at College of Commerce, National Chengchi University",1503,Communication,C,4,1535-668X,,
Journal of Business and Technical Communication,Sage Publications,1503,Communication,C,4,1050-6519,1552-4574,http://www.sagepub.com/
Journal of Business Chemistry,Institute of Business Administration,1503,Communication,C,4,1613-9615,1613-9623,http://www.businesschemistry.org/
Journal of Change Management,Taylor & Francis Online,1503,Communication,C,4,1469-7017,1479-1811,http://www.tandfonline.com/rjcm
Journal of Co-operative Studies,UK Society for Co-operative Studies,1503,Communication,C,4,,,
Journal of Comparative International Management,Array,1503,Communication,C,4,1481-0468,1718-0864,
Journal of Contemporary Business Issues,Western Illinois University,1503,Communication,C,4,0194-0430,1553-5347,
Journal of Contemporary Issues in Business and Government,Curtin University,1503,Communication,C,4,1323-6903,1323-6903,
Journal of East European Management Studies,Nomos,1503,Communication,C,4,0949-6181,0949-6181,
Journal of East-West Business,Taylor & Francis Online,1503,Communication,C,4,1066-9868,1528-6959,
Journal of Education for Business,Taylor & Francis Online,1503,Communication,C,4,0883-2323,1940-3356,
"Journal of Engineering, Design and Technology",Emerald Group Publishing,1503,Communication,C,4,1726-0531,1758-8901,http://www.emeraldinsight.com/
Journal of Entrepreneurship  ,Sage Publications,1503,Communication,C,4,0971-3557,0973-0745,
Journal of Entrepreneurship,Sage Publications,1503,Communication,C,4,0971-3557,1940-0292,http://www.uk.sagepub.com/
Journal of Entrepreneurship in Emerging Economies,Emerald Group Publishing,1503,Communication,C,4,2053-4604,2053-4612,
Journal of Global Operations and Strategic Sourcing,Emerald Group Publishing,1503,Communication,C,4,2398-5364,2398-5372,
Journal of Global Responsibility,Emerald Group Publishing,1503,Communication,C,4,2041-2568,2041-2576,http://www.emeraldinsight.com/
Journal of Indian Business Research,Emerald Group Publishing,1503,Communication,C,4,1755-4195,1755-4209,http://info.emeraldinsight.com/products/journals/journals.htm?id=jibr
Journal of Innovation Management,Association Journal of Innovation Management,1503,Communication,C,4,,2183-0606,
Journal of International Education in Business,Emerald Group Publishing Limited,1503,Communication,C,4,2046-469X,1836-3261,http://www.emeraldinsight.com/journal/jieb
Journal of International Migration and Integration,Springer International Publishing,1503,Communication,C,4,1488-3473,1874-6365,http://www.springerlink.com/
Journal of Management Analytics,Taylor & Francis Ltd.,1503,Communication,C,4,2327-0012,2327-0039,
Journal of Management and Governance,Springer International Publishing,1503,Communication,C,4,1385-3457,1572-963X,http://springerlink.metapress.com/
Journal of Management Development,Emerald Group Publishing,1503,Communication,C,4,0262-1711,1758-7492,http://www.emeraldinsight.com/
Journal of Management Spirituality and Religion,Taylor & Francis Ltd.,1503,Communication,C,4,1476-6086,1942-258X,
Journal of Managerial Issues,Pittsburg State University,1503,Communication,C,4,1045-3695,,
Journal of Modelling in Management,Emerald Group Publishing,1503,Communication,C,4,1746-5664,1746-5672,
Journal of New Business Ideas and Trends,Australian Business Education Research Association,1503,Communication,C,4,1446-8719,1447-9184,
Journal of Organisational Transformation and Social Change,Intellect,1503,Communication,C,4,1477-9633,2040-056X,http://www.intellectbooks.co.uk/
Journal of Organizational Behavior Education,Neilson Journals Publishing,1503,Communication,C,4,1649-7627,2047-9999,http://www.neilsonjournals.com/JOBE/
Journal of Political Power,Taylor & Francis Online,1503,Communication,C,4,2158-379X,2158-3803,
Journal of Science and Technology Policy Management,Emerald Group Publishing,1503,Communication,C,4,2053-4620‎,2053-4639,
Journal of Small Business and Enterprise Development,Emerald Group Publishing,1503,Communication,C,4,1462-6004,1758-7840,
Journal of Small Business and Entrepreneurship,Taylor & Francis Online,1503,Communication,C,4,0827-6331,2169-2610,
Journal of Small Business Strategy,Middle Tennessee State University,1503,Communication,C,4,1081-8510,2380-1751,
Journal of Southeast Asian Studies,Cambridge University Press,1503,Communication,C,4,0022-4634,1474-0680,http://journals.cambridge.org/action/displayJournal?jid=SEA
Journal of Strategy and Management,Emerald Group Publishing,1503,Communication,C,4,1755-425X,1755-425X,http://www.emeraldinsight.com/
Journal of Teaching in International Business,Taylor & Francis Online,1503,Communication,C,4,0897-5930,1528-6991,http://www.tandfonline.com/wtib
Journal of Technology Management & Innovation,Universidad Alberto Hurtado,1503,Communication,C,4,,0718-2724,
Journal of Technology Management in China,Emerald Group Publishing,1503,Communication,C,4,1746-8779,1746-8787,http://www.emeraldinsight.com/
Journal of Transnational Management,Taylor & Francis Online,1503,Communication,C,4,1547-5778,1547-5786,
Journal of Workplace Learning,Emerald Publishing,1503,Communication,C,4,1366-5626,1758-7859,https://www.emeraldinsight.com/journal/jwl
Leadership in Health Services,Emerald Group Publishing,1503,Communication,C,4,1751-1879,1751-1887,
Management & Organizational History,Sage Publications,1503,Communication,C,4,1744-9359,1744-9367,
Management and Labour Studies,Sage Publications,1503,Communication,C,4,0258-042X,2321-0710,
Management Research Review,Emerald Group Publishing,1503,Communication,C,4,2040-8269,,
Management Research: The Journal of the Iberoamerican Academy of Management,Emerald Group Publishing,1503,Communication,C,4,1536-5433,,
Management: Journal of Contemporary Management Issues,University of Split,1503,Communication,C,4,1331-0194,1846-3363,
Manager: The British journal of administrative management,Industry Qualifications,1503,Communication,C,4,1746-1278,,
Negotiation and Conflict Management Research,Wiley-Blackwell Publishing,1503,Communication,C,4,1750-4708,1750-4716,
New England Journal of Entrepreneurship,Emerald Group Publishing,1503,Communication,C,4,1550-333X,2574-8904,
New Zealand Journal of Human Resources Management,Human Resources Institute of New Zealand,1503,Communication,C,4,1175-5407,1175-5407,http://www.nzjhrm.co.nz
New Zealand Population Review,Population Association of New Zealand,1503,Communication,C,4,0111-199X,,
Operational Research,Springer International Publishing,1503,Communication,C,4,1109-2858,1866-1505,
Operations Management Research,Springer International Publishing,1503,Communication,C,4,1936-9735,1936-9743,http://www.springerlink.com/
Opsearch,Springer International Publishing,1503,Communication,C,4,0030-3887,0975-0320,
Organization Development Journal,International Society for Organization Development and Change,1503,Communication,C,4,0889-6402,,
Organization Management Journal,Taylor & Francis Online,1503,Communication,C,4,1541-6518,,
Performance Measurement and Metrics,Emerald Group Publishing,1503,Communication,C,4,1467-8047,1758-6925,
Perspectives on Work,University of Illinois Press,1503,Communication,C,4,1534-9276,1534-9276,http://www.press.uillinois.edu/journals/pow.html
Philippine Journal of Labor and Industrial Relations,"University of the Philippines, School of Labor and Industrial Relations",1503,Communication,C,4,0115-6373,0115-6373,http://www.solair.upd.edu.ph/call%20for%20papers.html
Philosophy of Management,Springer International Publishing,1503,Communication,C,4,1740-3812,2052-9597,http://www.managementphilosophers.com/
Publishing Research Quarterly,Springer International Publishing,1503,Communication,C,4,1053-8801,1936-4792,
Queensland Review,Cambridge University Press,1503,Communication,C,4,1321-8166,,https://search.informit.com.au/browseJournalTitle;issn=1321-8166;res=IELLCC
Research Evaluation,Oxford University Press,1503,Communication,C,4,0958-2029,1471-5449,http://rev.oxfordjournals.org/
Review of International Business and Strategy,Emerald Group Publishing,1503,Communication,C,4,2059-6014,,
Review of International Organizations,Springer International Publishing,1503,Communication,C,4,1559-7431,1559-744X,http://www.springerlink.com/content/1559-7431
Review of Regional Studies,Southern Regional Science Association,1503,Communication,C,4,1553-0892,0048-749X,
Risk Management,Springer International Publishing,1503,Communication,C,4,1460-3799,1743-4637,
Selection and Development Review,British Psychological Society,1503,Communication,C,4,0963-2638,0963-2638,http://www.psychpress.com.au/Psychometric/products/personality/15fq+review.pdf
Seoul Journal of Business,Seoul National University,1503,Communication,C,4,1226-9816,1226-9816,
Small Enterprise Research,Taylor & Francis Online,1503,Communication,C,4,1321-5906,1175-0979,
Social Enterprise Journal,Emerald Group Publishing,1503,Communication,C,4,1750-8614,1750-8533,http://www.emeraldinsight.com/
Social Science Information,Sage Publications,1503,Communication,C,4,0539-0184,1461-7412,
Social Science Japan Journal,Oxford University Press,1503,Communication,C,4,1369-1465,1468-2680,
South African Journal of Business Management,University of Stellenbosch,1503,Communication,C,4,2078-5585,,
South Asian Journal of Business Studies,Emerald Group Publishing,1503,Communication,C,4,2398-628X,2398-6298,
South Asian Journal of Human Resources Management,Sage Publications,1503,Communication,C,4,2322-0937,,
South Asian Journal of Management,Association of Management Development Institutions in South Asia (AMDISA),1503,Communication,C,4,0971-5428,,
Strategy & Leadership,Emerald Group Publishing,1503,Communication,C,4,1087-8572,1758-9568,
Team Performance Management,Emerald Group Publishing,1503,Communication,C,4,1352-7592,1758-6860,http://www.emeraldinsight.com/journal/tpm
Technology Innovation Management Review,Talent First Network (Carleton University),1503,Communication,C,4,,1927-0321,
The China Review: An interdisciplinary journal on greater China,Chinese University of Hong Kong Press,1503,Communication,C,4,1680-2012,1015-6607,
"The International Journal of Environmental, Cultural, Economic and Social Sustainability",Common Ground Publishing Pty Ltd,1503,Communication,C,4,1832-2077,1832-2077,http://onsustainability.com/journal/
The International Journal of Management Education,Elsevier,1503,Communication,C,4,1472-8117,1472-8117,http://www.business.ltsn.ac.uk
The Journal of High Technology Management Research,Elsevier,1503,Communication,C,4,1047-8310,1879-1638,http://www.journals.elsevier.com/the-journal-of-high-technology-management-research
The Learning Organization,Emerald Publishing,1503,Communication,C,4,0969-6474,1758-7905,https://www.emeraldinsight.com/loi/tlo
The Social Science Journal,Elsevier,1503,Communication,C,4,0362-3319,1873-5355,http://www.journals.elsevier.com/the-social-science-journal
Third Sector Review,Australia and New Zealand Third Sector Research Inc. (ANZTSR),1503,Communication,C,4,1323-9163,1839-5937,
Total Quality Management and Business Excellence,Taylor & Francis Online,1503,Communication,C,4,1478-3363,1478-3371,http://www.tandfonline.com/ctqm
Training and Management Development Methods,Emerald Group Publishing,1503,Communication,C,4,0951-3507,0951-3507,http://www.emeraldinsight.com/
Transfer: European review of labour and research,Sage Publications,1503,Communication,C,4,1024-2589,1996-7284,http://www.uk.sagepub.com/
Variance: advancing the science of risk,Casualty Actuarial Society,1503,Communication,C,4,1940-6444,1940-6452,http://www.variancejournal.org/
Vision: The Journal of Business Perspectives,Sage Publications,1503,Communication,C,4,0972-2629,2249-5304,
Western Journal of Communication,Taylor & Francis Online,1503,Communication,C,4,1057-0314,1745-1027,
Actuarial Research Clearinghouse,SOA Education and Research Section,1502,Finance,C,4,0732-5428,,
"African Journal of Accounting, Economics, Finance and Banking Research",Global Business Investments and Publications,1502,Finance,C,4,1933-3404,1933-3463,
Afro-Asian Journal of Finance and Accounting,Inderscience Enterprises Ltd.,1502,Finance,C,4,1751-6447,1751-6455,
Agricultural Finance Review,Emerald Group Publishing,1502,Finance,C,4,0002-1466,2041-6326,
American Journal of Finance and Accounting,Inderscience Publishers,1502,Finance,C,4,1752-7767,1752-7775,
Annals of Economics and Finance,Peking University Press,1502,Finance,C,4,1529-7373,,
Asia-Pacific Financial Markets,Springer International Publishing,1502,Finance,C,4,1387-2834,1573-6946,
Australian Journal of Actuarial Practice,Institute of Actuaries of Australia,1502,Finance,C,4,2203-2290,2203-5354,
Bank Parikrama: A Journal of Banking and Finance,Bangladesh Institute of Bank Management,1502,Finance,C,4,1019-7044,,
Banks and Bank Systems,Business Perspectives Ltd,1502,Finance,C,4,1816-7403,1991-7074‎,
Bulletin of Monetary Economics and Banking,Bank Indonesia,1502,Finance,C,4,1410-8046,2460-9196,
Capital Markets Review,Malaysian Finance Association and Bursa Malaysia,1502,Finance,C,4,1823-4445,,
Central Bank Review,Elsevier,1502,Finance,C,4,1303-0701,1305-8800,
China Finance Review International,Emerald Group Publishing Limited,1502,Finance,C,4,2044-1398,2044-1401,
Corporate Finance Review,"RIA Group, Boston",1502,Finance,C,4,1089-327X,,
Derivatives & Financial Instruments,International Bureau of Fiscal Documentation,1502,Finance,C,4,1389-1863,,
Finance,Association Francaise de Finance,1502,Finance,C,4,0752-6180,,
Finance India,Indian Institute of Finance,1502,Finance,C,4,0970-3772,,http://www.financeindia.org/fi.htm
Financial Planning Research Journal,Griffith University on behalf of FPA Australia,1502,Finance,C,4,2206-1355,,griffith.edu.aul/financial-planning-research-journal
Frontiers in Finance and Economics,PHI,1502,Finance,C,4,1814-2044,,
Indian Journal of Finance,Associated Management Consultants Private Limited,1502,Finance,C,4,0973-8711,,
"International Journal of Banking, Accounting and Finance",Inderscience Publishers,1502,Finance,C,4,1755-3830,1755-3849,http://www.inderscience.com/jhome.php?jcode=ijbaaf
International Journal of Bonds and Derivatives,Inderscience Enterprises Ltd,1502,Finance,C,4,2050-2281,2050-229X,
International Journal of Electronic Banking,Inderscience Enterprises Ltd.,1502,Finance,C,4,1753-5239,1753-5247,http://www.inderscience.com/
International Journal of Electronic Finance,Inderscience Enterprises Ltd.,1502,Finance,C,4,1746-0069,1746-0077,http://www.inderscience.com/
International Journal of Finance,Utex Corporation,1502,Finance,C,4,1041-2743,,
International Journal of Financial Engineering,World Scientific,1502,Finance,C,4,2424-7863,2424-7944,http://www.worldscientific.com/worldscinet/ijfe
International Journal of Financial Markets and Derivatives,Inderscience Enterprises Ltd,1502,Finance,C,4,1756-7130,1756-7149,
International Journal of Financial Services Management,Inderscience Enterprises Ltd.,1502,Finance,C,4,1460-6712,1741-8062,http://www.inderscience.com/
International Journal of Revenue Management,Inderscience Enterprises Ltd.,1502,Finance,C,4,1474-7332,1741-8186,
International Journal of Risk Assessment and Management,Inderscience Enterprises Ltd,1502,Finance,C,4,1466-8297,1741-5241,
ISRA International Journal of Islamic Finance ,Emerald Publishing,1502,Finance,C,4,0128-1976,2289-4365,
"Journal of Applied Finance: theory, practice, education",Financial Management Association International (FMA),1502,Finance,C,4,1534-6668,,http://www.fma.org/
Journal of Computational Finance,Incisive Risk Information Limited,1502,Finance,C,4,1460-1559,1755-2850,http://www.journalofcomputationalfinance.com/
Journal of Credit Risk,Incisive Risk Information Ltd.,1502,Finance,C,4,1744-6619,1755-9723,
Journal of Derivatives and Hedge Funds,Macmillan Publishers Limited,1502,Finance,C,4,1753-9641,1753-965X,http://www.palgrave-journals.com/jdhf/index.html
Journal of Education Finance,University of Illinois Press,1502,Finance,C,4,0098-9495,1944-6470,http://www.press.uillinois.edu/journals/jef.html
Journal of Finance and Management in Public Services,The Chartered Institute of Public Finance and Accountancy (CIPFA),1502,Finance,C,4,1475-1283,,http://www.cipfa.org/policy-and-guidance/the-journal-of-finance-and-management-in-public-services
Journal of Finance Case Research,Institute of Finance Case Research,1502,Finance,C,4,1527-5426,,
Journal of Financial Counseling and Planning,Springer Publishing Company,1502,Finance,C,4,1052-3073,1947-7910,
Journal of Financial Management and Analysis,"Om Sai Ram Centre for Financial Management Research and Training, Bombay, India",1502,Finance,C,4,0970-4205,,
"Journal of Financial Management, Markets and Institutions",World Scientific Publishing,1502,Finance,C,4,2282-717X,,
Journal of Index Investing,Pageant Media,1502,Finance,C,4,2154-7238,2374-135X,
Journal of International Banking Law and Regulation,Sweet & Maxwell,1502,Finance,C,4,1742-6812,,http://www.sweetandmaxwell.co.uk/
Journal of Internet Banking and Commerce,ARRAY Development,1502,Finance,C,4,,1204-5357,
Journal of Investment Compliance,Emerald Group Publishing,1502,Finance,C,4,1528-5812,1758-7476,http://www.emeraldinsight.com/
Journal of Investment Consulting,Investments & Wealth Institute,1502,Finance,C,4,1524-6035,,
Journal of Investment Management,Gifford Fong Associates,1502,Finance,C,4,1545-9144,1545-9152,
"Journal of Islamic Economics, Banking and Finance",SyndiGate Media Inc.,1502,Finance,C,4,2070-4658,2070-4666,
"Journal of Money, Investment and Banking","Social Science Electronic Publishing, Inc.",1502,Finance,C,4,1450-288X,,http://www.eurojournals.com/JMIB.htm
Journal of Operational Risk,Incisive Risk Information Ltd.,1502,Finance,C,4,1744-6740,1755-2710,
Journal of Performance Management,Association for Management Information in Financial Services (AMIfs),1502,Finance,C,4,1949-971X,,http://www.amifs.org/?page=journals
Journal of Risk Management in Financial Institutions,Henry Stewart Publications,1502,Finance,C,4,1752-8887,1752-8895,
Journal of Risk Research,Taylor & Francis Online,1502,Finance,C,4,1366-9877,1466-4461,http://www.tandfonline.com/rjrr
Mathematical Methods in Economics and Finance,Universite Ca Foscari Venezia,1502,Finance,C,4,1971-6419,1971-3878,
Research in Finance,Elsevier,1502,Finance,C,4,0196-3821,0882-3138,
Research in Financial Services,Elsevier,1502,Finance,C,4,1052-7788,,http://www.emeraldgrouppublishing.com/products/books/series.htm?id=1052-7788
Risk Management and Insurance Review,Wiley-Blackwell Publishing,1502,Finance,C,4,1098-1616,1540-6296,
Spanish Review of Financial Economics,AEFIN,1502,Finance,C,4,2173-1268,,
Strategic Change: Briefings in Entrepreneurial Finance,Wiley-Blackwell Publishing,1502,Finance,C,4,1099-1697,,
The Journal of Private Equity,Institutional Investor Journals Group,1502,Finance,C,4,1096-5572,,http://www.ebscohost.com/
The Journal of Risk Model Validation,Risk Waters Group.,1502,Finance,C,4,1753-9579,1753-9587,http://www.risk.net/type/journal/source/journal-of-risk-model-validation
The Journal of Structured Finance,Pageant Media,1502,Finance,C,4,1551-9783,1551-9783,
The Journal of Trading,Institutional Investor Journals Group,1502,Finance,C,4,1559-3967,,http://www.iijournals.com/JOT/
Academy of Accounting and Financial Studies Journal,Academy of Accounting and Financial Studies,1501,Accounting,C,4,1096-3685,,https://www.abacademies.org/journals/academy-of-accounting-and-financial-studies-journal-home.html
Accounting Accountability and Performance,Griffith University,1501,Accounting,C,4,1445-954X,,
Accounting and Taxation,Institute for Business and Finance Research,1501,Accounting,C,4,1944-592X,,
"Accounting, Finance and Governance Review",Irish Accounting and Finance Association,1501,Accounting,C,4,0791-9638,,
Advances in Accounting Education,Emerald Group Publishing,1501,Accounting,C,4,1085-4622,,
Advances in Public Interest Accounting,Emerald Group Publishing,1501,Accounting,C,4,1041-7060,,
"African Journal of Accounting, Auditing and Finance",Inderscience Enterprises Ltd.,1501,Accounting,C,4,2046-8083,2046-8091,
AIS Educator Journal,Allen Press Inc.,1501,Accounting,C,4,1935-8156,,
Art Law and Accounting Reporter,Volunteer Lawyers and Accountants for the Arts,1501,Accounting,C,4,0886-1013,,
Asia-Pacific Management Accounting Journal,Universiti Teknologi MARA (UiTM) Press,1501,Accounting,C,4,1675-3194,2550-1631,
Asian Academy of Management Journal of Accounting and Finance,Asian Academy of Management / Penerbit Universiti Sains Malaysia,1501,Accounting,C,4,1823-4992,2180-4192,
Asian Journal of Accounting and Governance,Universiti Kebangsaan Malaysia (UKM) Press,1501,Accounting,C,4,2180-3838,,
Asian Journal of Accounting Research,Emerald Group Publishing,1501,Accounting,C,4,2459-9700,2443-4175,
Asian Journal of Business and Accounting,University of Malaysia,1501,Accounting,C,4,1985-4064,2180-3137,
Asian Journal of Management Cases,Sage Publications,1501,Accounting,C,4,0972-8201,0973-0621,
Audit Financiar,Chamber of Financial Auditors in Romania,1501,Accounting,C,4,1583-5812,1844-8801,
Australasian Journal of Business and Behavioural Sciences,Australasian Business and Behavioural Sciences Association,1501,Accounting,C,4,1832-0422,,
Australian Journal of Business and Management Research,New South Wales Research Centre Australia,1501,Accounting,C,4,,1839-0846,
Copernican Journal of Finance & Accounting,Nicolaus Copernicus University,1501,Accounting,C,4,2300-1240,2300-3065,
Corporate Governance and Sustainability Review,Virtus Interpress,1501,Accounting,C,4,2519-8971,2519-898X,
Cost Management,"Warren Gorham & Lamont, Inc.  - Thomson Financial Publishing",1501,Accounting,C,4,1092-8057,,
"EDPACS: The EDP Audit, Control, and Security Newsletter",Taylor & Francis,1501,Accounting,C,4,0736-6981,1936-1009,
Eurasian Journal of Business and Economics,Ala-Too International University   ,1501,Accounting,C,4,1694-5948,1694-5972,
Facta Universitatas: Economics and Organization,University of Nis,1501,Accounting,C,4,0354-4699,2406-050X,
Financial Reporting,Franco Angeli,1501,Accounting,C,4,2036-671X,2036-6779,
"Financial Reporting, Regulation & Governance",Not provided,1501,Accounting,C,4,1449-2318,1449-2318,
Global Journal of Accounting and Finance,Institute for Global Business Research,1501,Accounting,C,4,2574-0474,2574-0482,
Global Perspectives on Accounting Education,Global Perspectives on Accounting Education,1501,Accounting,C,4,,1543-2955,
IMA Educational Case Journal,"Institute of Management Accountants, Inc.",1501,Accounting,C,4,1940-204X,,
Indian Journal of Corporate Governance,Sage Publications,1501,Accounting,C,4,0974-6862,,
Indian Journal of Finance and Banking,Centre for Research on Islamic Banking & Finance and Business,1501,Accounting,C,4,2574-6081,2574-609X,
Indonesian Journal of Sustainability Accounting and Management,Universitas Pasundan,1501,Accounting,C,4,2597-6214,2597-6222,
Indonesian Management and Accounting Research,Trisakti University,1501,Accounting,C,4,1411-8858,2442-9724,
Internal Auditing,Thomson Reuters,1501,Accounting,C,4,0897-0378,,http://store.tax.thomsonreuters.com/accounting/Finance/Internal-Auditing/p/100201298
International Journal of Accounting & Finance Review,Centre for Research on Islamic Banking & Finance and Business,1501,Accounting,C,4,2576-1285,2576-1293,
International Journal of Accounting and Business Finance,"Faculty of Management Studies & Commerce, University of Jaffna, Sri Lanka",1501,Accounting,C,4,2448-9867,2448-9875,
International Journal of Accounting and Finance,Inderscience Enterprises Ltd.,1501,Accounting,C,4,1752-8224,1752-8232,http://www.inderscience.com/jhome.php?jcode=ijaf
"International Journal of Accounting, Auditing and Performance Evaluation",Inderscience Enterprises Ltd.,1501,Accounting,C,4,1740-8008,1740-8016,http://www.inderscience.com/jhome.php?jcode=ijaape#board
International Journal of Behavioural Accounting and Finance,Inderscience Publishers,1501,Accounting,C,4,1753-1969,1753-1977,http://www.inderscience.com/jhome.php?jcode=ijbaf
International Journal of Business and Information,Academy of Taiwan Information Systems Research,1501,Accounting,C,4,1728-8673,2520-0151,
International Journal of Business and Society,Universiti Malaysia Sarawak,1501,Accounting,C,4,1511-6670,,
International Journal of Critical Accounting,Inderscience Enterprises Ltd.,1501,Accounting,C,4,1757-9848,1757-9856,http://www.inderscience.com/jhome.php?jcode=ijca
International Journal of Economics and Accounting,Inderscience Enterprises Ltd,1501,Accounting,C,4,2041-868X,2041-8698,
International Journal of Government Auditing,International Journal of Government Auditing,1501,Accounting,C,4,0047-0724,,
Issues in Social and Environmental Accounting: An International Journal,Sebelas Maret University,1501,Accounting,C,4,,1978-0591,http://www.iiste.org/Journals/index.php/ISEA/index
IUP Journal of Accounting Research & Audit Practices,IUP Publications,1501,Accounting,C,4,0972-690X,,
IUP Journal of Corporate Governance,IUP Publications,1501,Accounting,C,4,0972-6853,,
Journal of Accountancy,Association of International Certified Professional Accountants,1501,Accounting,C,4,0021-8448,1945-0729,
Journal of Accounting and Management Information Systems (JAMIS),Bucharest University of Economic Studies,1501,Accounting,C,4,1583-4387,2559-6004,
"Journal of Accounting, Business and Management",Malangkucecwara School of Economics,1501,Accounting,C,4,0216-423X,2622-2167,
"Journal of Accounting, Ethics and Public Policy",Dumont Institute for Public Policy Research,1501,Accounting,C,4,1089-652X,,http://www.jaepp.org/
Journal of Applied Management Accounting Research,The Institute of Certified Management Accountants,1501,Accounting,C,4,1443-9905,1443-9913,"http://journals.indexcopernicus.com/The+Journal+of+Applied+Management+Accounting+Research,p5162,3.html"
Journal of Applied Research in Accounting and Finance,The University of Sydney Business School,1501,Accounting,C,4,1834-2582,1834-2590,http://www.econ.usyd.edu.au/research/journals/jaraf/
Journal of Commerce and Accounting Research,Publishing India Group,1501,Accounting,C,4,2277-2146,2320-4990,
Journal of Cost & Management,Croatian Accountant,1501,Accounting,C,4,1848-137X,,
Journal of Cost Analysis and Parametrics,Taylor & Francis Online,1501,Accounting,C,4,1941-658X,2160-4746,
Journal of Financial Reporting and Accounting,Emerald Group Publishing,1501,Accounting,C,4,1985-2517,2042-5856,
Journal of Human Resource Costing and Accounting,Emerald Group Publishing,1501,Accounting,C,4,1401-338X,1758-745X,http://www.emeraldinsight.com/loi/jhrca
Journal of Islamic Accounting and Business Research,Emerald Group Publishing,1501,Accounting,C,4,1759-0817,1759-0825,
Journal of the Asia Pacific Centre for Environmental Accountability,The University of South Australia,1501,Accounting,C,4,1448-6679,,http://catalogue.nla.gov.au/Record/2489013
Management Accounting Quarterly,"Institute of Management Accountants, Inc.",1501,Accounting,C,4,1528-5359,,
Management and Accounting Review,Universiti Teknologi MARA,1501,Accounting,C,4,1675-4077,,
Management Control,Franco Angeli,1501,Accounting,C,4,2239-0391,2239-4397,
Mustang Journal of Accounting and Finance,Mustang Journals,1501,Accounting,C,4,1949-1794,1949-1786,
Petroleum Accounting and Financial Management Journal,Institute of Petroleum Accounting,1501,Accounting,C,4,1554-2904,,http://www.ipa.unt.edu/journal.php
Research in Accounting in Emerging Economies,Emerald Group Publishing,1501,Accounting,C,4,1479-3563,,http://www.emeraldgrouppublishing.com/products/books/series.htm?id=1479-3563
South African Journal of Accounting Research,Routledge ,1501,Accounting,C,4,1029-1954,2376-3981,
The Indonesian Journal of Accounting Research,Indonesian Institute of Accountants - Compartment of Accounting Educators,1501,Accounting,C,4,2086-6887,2655-1748,
Acta Oeconomica,Akademiai Kiado,1499,Economics,C,4,0001-6373,1588-2659,
Africa Development/Afrique et Developpement,Council for the Development of Economic and Social Research in Africa,1499,Economics,C,4,0850-3907,,
African Development Review,Wiley-Blackwell Publishing,1499,Economics,C,4,1017-6772,1467-8268,
Agricultural Economics and Rural Development,Institute of Agricultural Economics,1499,Economics,C,4,,,
Agricultural Economics Research Review,Agricultural Economics Research Association,1499,Economics,C,4,0971-3441,0974-0279,
Agricultural Economics Review,Greek Association of Agricultural Economists,1499,Economics,C,4,1109-2580,,
American Review of Political Economy,American Review of Political Economy,1499,Economics,C,4,1551-1383,,
Annals Economy Series,Universitatea Constantin Brancusi din Targu-Jiu,1499,Economics,C,4,1844-7007,,
